timeDeltas	HMD	RightTracker	LeftTracker
415113	0,310 1,598 0,235 0,414 -0,091 0,012 0,905	0,311 1,217 0,501 -0,212 -0,161 -0,168 0,949	0,168 1,305 0,445 -0,453 -0,058 0,021 0,890
415153	0,310 1,600 0,234 0,409 -0,085 0,016 0,908	0,312 1,219 0,499 -0,222 -0,153 -0,165 0,949	0,164 1,302 0,438 -0,447 -0,065 0,012 0,892
415169	0,310 1,600 0,234 0,409 -0,085 0,016 0,908	0,312 1,219 0,499 -0,222 -0,153 -0,165 0,949	0,164 1,302 0,438 -0,447 -0,065 0,012 0,892
415261	0,310 1,602 0,234 0,403 -0,086 0,016 0,911	0,307 1,223 0,505 -0,234 -0,164 -0,163 0,944	0,158 1,300 0,430 -0,446 -0,076 0,012 0,891
415290	0,310 1,603 0,233 0,398 -0,088 0,017 0,913	0,296 1,229 0,525 -0,265 -0,156 -0,155 0,939	0,150 1,297 0,422 -0,443 -0,090 0,009 0,892
415325	0,309 1,606 0,234 0,392 -0,091 0,019 0,915	0,276 1,238 0,566 -0,300 -0,156 -0,145 0,930	0,140 1,293 0,412 -0,440 -0,106 0,004 0,892
415339	0,308 1,608 0,234 0,386 -0,094 0,020 0,917	0,267 1,241 0,585 -0,319 -0,153 -0,142 0,925	0,133 1,291 0,404 -0,434 -0,120 0,000 0,893
415361	0,308 1,608 0,234 0,386 -0,094 0,020 0,917	0,267 1,241 0,585 -0,319 -0,153 -0,142 0,925	0,133 1,291 0,404 -0,434 -0,120 0,000 0,893
415384	0,309 1,609 0,234 0,380 -0,098 0,022 0,920	0,264 1,238 0,606 -0,317 -0,137 -0,161 0,925	0,123 1,288 0,394 -0,429 -0,138 -0,004 0,893
415395	0,309 1,609 0,234 0,380 -0,098 0,022 0,920	0,264 1,238 0,606 -0,317 -0,137 -0,161 0,925	0,123 1,288 0,394 -0,429 -0,138 -0,004 0,893
415413	0,309 1,611 0,235 0,377 -0,102 0,026 0,920	0,255 1,237 0,624 -0,315 -0,129 -0,128 0,931	0,114 1,284 0,384 -0,425 -0,154 -0,012 0,892
415426	0,309 1,611 0,235 0,377 -0,102 0,026 0,920	0,255 1,237 0,624 -0,315 -0,129 -0,128 0,931	0,114 1,284 0,384 -0,425 -0,154 -0,012 0,892
415441	0,309 1,611 0,235 0,377 -0,102 0,026 0,920	0,255 1,237 0,624 -0,315 -0,129 -0,128 0,931	0,114 1,284 0,384 -0,425 -0,154 -0,012 0,892
415462	0,308 1,612 0,236 0,373 -0,106 0,026 0,921	0,247 1,237 0,640 -0,292 -0,120 -0,136 0,939	0,106 1,281 0,375 -0,420 -0,171 -0,017 0,891
415509	0,308 1,612 0,236 0,373 -0,106 0,026 0,921	0,247 1,237 0,640 -0,292 -0,120 -0,136 0,939	0,106 1,281 0,375 -0,420 -0,171 -0,017 0,891
415519	0,307 1,612 0,238 0,369 -0,110 0,027 0,923	0,240 1,236 0,655 -0,284 -0,124 -0,139 0,941	0,099 1,276 0,366 -0,411 -0,184 -0,025 0,892
415548	0,307 1,612 0,238 0,369 -0,110 0,027 0,923	0,240 1,236 0,655 -0,284 -0,124 -0,139 0,941	0,099 1,276 0,366 -0,411 -0,184 -0,025 0,892
415571	0,308 1,613 0,239 0,367 -0,113 0,028 0,923	0,237 1,234 0,668 -0,277 -0,126 -0,143 0,942	0,092 1,273 0,358 -0,405 -0,197 -0,029 0,892
415599	0,308 1,614 0,242 0,364 -0,117 0,027 0,924	0,234 1,230 0,686 -0,273 -0,123 -0,148 0,942	0,086 1,268 0,350 -0,397 -0,213 -0,038 0,892
415612	0,308 1,613 0,241 0,365 -0,115 0,027 0,923	0,235 1,232 0,677 -0,276 -0,126 -0,147 0,942	0,088 1,270 0,353 -0,400 -0,207 -0,035 0,892
